Channel,Volume
Last Update,1652141158
30000-30050,288
30050-30100,471
30100-30150,0
30150-30200,2071
30200-30250,1005
30250-30300,322
30300-30350,1237
30350-30400,461
30400-30450,2134
30450-30500,1604
30500-30550,3444
30550-30600,1806
30600-30650,2630
30650-30700,2629
30700-30750,3214
30750-30800,3373
30800-30850,4223
30850-30900,3896
30900-30950,4561
30950-31000,3239
31000-31050,3791
31050-31100,3775
31100-31150,3551
31150-31200,2951
31200-31250,5009
31250-31300,4071
31300-31350,2834
31350-31400,2929
31400-31450,1629
31450-31500,2398
31500-31550,1332
31550-31600,2013
31600-31650,3160
31650-31700,3055
31700-31750,3329
31750-31800,1583
31800-31850,2546
31850-31900,1626
31900-31950,671
31950-32000,850
32000-32050,127
32050-32100,907
32100-32150,1027
32150-32200,1149
32200-32250,953
32250-32300,2393
32300-32350,2982
32350-32400,1814
32400-32450,2076
32450-32500,1498
32500-32550,1720
32550-32600,1783
32600-32650,966
32650-32700,1387
32700-32750,1934
32750-32800,2951
32800-32850,3534
32850-32900,3431
32900-32950,5227
32950-33000,3470
33000-33050,3433
33050-33100,6292
33100-33150,2288
33150-33200,1434
33200-33250,1758
33250-33300,2867
33300-33350,1764
33350-33400,2975
33400-33450,3327
33450-33500,3874
33500-33550,4115
33550-33600,3398
33600-33650,3125
33650-33700,2366
33700-33750,2109
33750-33800,3736
33800-33850,2434
33850-33900,1482
33900-33950,1203
33950-34000,2217
34000-34050,3354
34050-34100,3781
34100-34150,3289
34150-34200,2312
34200-34250,1630
34250-34300,1745
34300-34350,2769
34350-34400,3491
34400-34450,5989
34450-34500,6639
34500-34550,5396
34550-34600,6845
34600-34650,5492
34650-34700,5047
34700-34750,2556
34750-34800,2450
34800-34850,1112
34850-34900,1033
34900-34950,880
34950-35000,497
35000-35050,1005
35050-35100,1862
35100-35150,1806
35150-35200,2109
35200-35250,2302
35250-35300,837
35300-35350,2712
35350-35400,1470
35400-35450,1837
35450-35500,2212
35500-35550,2235
35550-35600,999
35600-35650,1466
35650-35700,1935
35700-35750,1695
35750-35800,3827
35800-35850,7005
35850-35900,7665
35900-35950,10000
35950-36000,9040
36000-36050,7720
36050-36100,6697
36100-36150,4067
36150-36200,3476
36200-36250,3828
36250-36300,3020
36300-36350,4078
36350-36400,4125
36400-36450,3538
36450-36500,3322
36500-36550,1892
36550-36600,845
36600-36650,116
36650-36700,0
