Channel,Volume
Last Update,1653537865
26700-26750,169
26750-26800,956
26800-26850,552
26850-26900,1050
26900-26950,1129
26950-27000,1932
27000-27050,3473
27050-27100,3201
27100-27150,6073
27150-27200,5454
27200-27250,2800
27250-27300,5347
27300-27350,2038
27350-27400,3463
27400-27450,2473
27450-27500,1557
27500-27550,3743
27550-27600,1699
27600-27650,2870
27650-27700,1611
27700-27750,3125
27750-27800,3170
27800-27850,2341
27850-27900,2720
27900-27950,3784
27950-28000,5966
28000-28050,5687
28050-28100,4388
28100-28150,3828
28150-28200,6154
28200-28250,3498
28250-28300,6587
28300-28350,5498
28350-28400,6474
28400-28450,6891
28450-28500,5665
28500-28550,7062
28550-28600,6738
28600-28650,6445
28650-28700,5964
28700-28750,8096
28750-28800,9572
28800-28850,10255
28850-28900,11525
28900-28950,14861
28950-29000,14504
29000-29050,15650
29050-29100,16606
29100-29150,21331
29150-29200,22963
29200-29250,26921
29250-29300,28712
29300-29350,23487
29350-29400,28145
29400-29450,29236
29450-29500,28013
29500-29550,26205
29550-29600,27492
29600-29650,23091
29650-29700,21861
29700-29750,27858
29750-29800,26399
29800-29850,30786
29850-29900,27926
29900-29950,23101
29950-30000,26906
30000-30050,27687
30050-30100,27182
30100-30150,29075
30150-30200,33046
30200-30250,24020
30250-30300,23419
30300-30350,24208
30350-30400,28394
30400-30450,27231
30450-30500,24445
30500-30550,21639
30550-30600,16323
30600-30650,16098
30650-30700,15522
30700-30750,15350
30750-30800,12491
30800-30850,15255
30850-30900,12568
30900-30950,16791
30950-31000,14349
31000-31050,14043
31050-31100,15662
31100-31150,14441
31150-31200,15255
31200-31250,15538
31250-31300,16557
31300-31350,14733
31350-31400,13619
31400-31450,9927
31450-31500,10904
31500-31550,9524
31550-31600,11270
31600-31650,13398
31650-31700,11193
31700-31750,11734
31750-31800,11371
31800-31850,8418
31850-31900,7153
31900-31950,4615
31950-32000,3439
32000-32050,2237
32050-32100,2671
32100-32150,3261
32150-32200,3746
32200-32250,2816
32250-32300,3575
32300-32350,3666
32350-32400,2985
32400-32450,3026
32450-32500,2198
32500-32550,2454
32550-32600,2487
32600-32650,1246
32650-32700,1387
32700-32750,1934
32750-32800,2951
32800-32850,3534
32850-32900,3431
32900-32950,5468
32950-33000,3470
33000-33050,3652
33050-33100,7177
33100-33150,3112
33150-33200,2115
33200-33250,2928
33250-33300,4838
33300-33350,2927
33350-33400,4711
33400-33450,4794
33450-33500,6089
33500-33550,6812
33550-33600,6024
33600-33650,5756
33650-33700,5065
33700-33750,5163
33750-33800,5329
33800-33850,3902
33850-33900,2949
33900-33950,2927
33950-34000,3892
34000-34050,5001
34050-34100,4723
34100-34150,4807
34150-34200,4054
34200-34250,3447
34250-34300,3137
34300-34350,5470
34350-34400,5925
34400-34450,9001
34450-34500,9455
34500-34550,8539
34550-34600,9964
34600-34650,9032
34650-34700,8913
34700-34750,6926
34750-34800,7418
34800-34850,5527
34850-34900,6906
34900-34950,7643
34950-35000,8068
35000-35050,9222
35050-35100,9805
35100-35150,8283
35150-35200,10507
35200-35250,10881
35250-35300,11165
35300-35350,12789
35350-35400,10085
35400-35450,11749
35450-35500,10932
35500-35550,10950
35550-35600,11572
35600-35650,12095
35650-35700,12537
35700-35750,9774
35750-35800,13543
35800-35850,16921
35850-35900,17342
35900-35950,20807
35950-36000,18277
36000-36050,17753
36050-36100,15160
36100-36150,14328
36150-36200,14435
36200-36250,14567
36250-36300,13700
36300-36350,15825
36350-36400,17240
36400-36450,15180
36450-36500,13185
36500-36550,15108
36550-36600,12938
36600-36650,13691
36650-36700,13159
36700-36750,12125
36750-36800,14222
36800-36850,15047
36850-36900,19322
36900-36950,19446
36950-37000,19033
37000-37050,16358
37050-37100,12394
37100-37150,14378
37150-37200,13732
37200-37250,12397
37250-37300,12562
37300-37350,11818
37350-37400,11731
37400-37450,10928
37450-37500,10668
37500-37550,15401
37550-37600,17747
37600-37650,20979
37650-37700,23915
37700-37750,23053
37750-37800,23633
37800-37850,23993
37850-37900,24518
37900-37950,25625
37950-38000,26478
38000-38050,28939
38050-38100,25203
38100-38150,26263
38150-38200,26858
38200-38250,31430
38250-38300,36860
38300-38350,42353
38350-38400,42326
38400-38450,43641
38450-38500,43471
38500-38550,44179
38550-38600,40894
38600-38650,41626
38650-38700,47095
38700-38750,47116
38750-38800,52049
38800-38850,52995
38850-38900,51109
38900-38950,60134
38950-39000,58696
39000-39050,54108
39050-39100,49251
39100-39150,45161
39150-39200,45414
39200-39250,36101
39250-39300,32214
39300-39350,30682
39350-39400,31885
39400-39450,31143
39450-39500,34185
39500-39550,33716
39550-39600,32965
39600-39650,29590
39650-39700,32017
39700-39750,32414
39750-39800,34445
39800-39850,27046
39850-39900,24546
39900-39950,24565
39950-40000,21599
40000-40050,19918
40050-40100,20279
40100-40150,24626
40150-40200,22765
40200-40250,20583
40250-40300,21554
40300-40350,21884
40350-40400,26441
40400-40450,30107
40450-40500,28360
40500-40550,26763
40550-40600,28016
40600-40650,26573
40650-40700,24926
40700-40750,25784
40750-40800,26175
40800-40850,28506
40850-40900,24294
40900-40950,22776
40950-41000,24056
41000-41050,21309
41050-41100,22552
41100-41150,22804
41150-41200,26091
41200-41250,24658
41250-41300,24401
41300-41350,28194
41350-41400,29531
41400-41450,30672
41450-41500,30028
41500-41550,29579
41550-41600,27730
41600-41650,30172
41650-41700,32054
41700-41750,32432
41750-41800,30766
41800-41850,30895
41850-41900,32695
41900-41950,32753
41950-42000,32585
42000-42050,29801
42050-42100,30020
42100-42150,32083
42150-42200,32954
42200-42250,31388
42250-42300,32312
42300-42350,27022
42350-42400,27002
42400-42450,28259
42450-42500,27245
42500-42550,24837
42550-42600,25633
42600-42650,23907
42650-42700,25886
42700-42750,23063
42750-42800,25701
42800-42850,24539
42850-42900,25848
42900-42950,25892
42950-43000,25940
43000-43050,25098
43050-43100,24640
43100-43150,23444
43150-43200,23414
43200-43250,20824
43250-43300,21662
43300-43350,24140
43350-43400,24860
43400-43450,25899
43450-43500,26068
43500-43550,25178
43550-43600,27601
43600-43650,26716
43650-43700,25177
43700-43750,25771
