Channel,Volume
Last Update,1651819711
2680-2690,3481
2690-2700,8257
2700-2710,36844
2710-2720,55929
2720-2730,95848
2730-2740,145046
2740-2750,160365
2750-2760,115280
2760-2770,153108
2770-2780,167446
2780-2790,180810
2790-2800,220777
2800-2810,277761
2810-2820,307468
2820-2830,359350
2830-2840,417972
2840-2850,390614
2850-2860,343750
2860-2870,369351
2870-2880,282729
2880-2890,216634
2890-2900,207404
2900-2910,165898
2910-2920,242681
2920-2930,316173
2930-2940,338549
2940-2950,273246
2950-2960,269924
2960-2970,227158
2970-2980,111346
2980-2990,119827
2990-3000,214913
3000-3010,255651
3010-3020,183702
3020-3030,133090
3030-3040,174262
3040-3050,201960
3050-3060,139580
3060-3070,141676
3070-3080,145285
3080-3090,156754
3090-3100,158384
3100-3110,125842
3110-3120,96291
3120-3130,60735
3130-3140,42301
3140-3150,64920
3150-3160,70683
3160-3170,40827
3170-3180,11853
