Channel,Volume
Last Update,1653536877
1800-1810,38419
1810-1820,32642
1820-1830,50166
1830-1840,85007
1840-1850,76744
1850-1860,104378
1860-1870,72257
1870-1880,76041
1880-1890,70949
1890-1900,81066
1900-1910,153906
1910-1920,222973
1920-1930,234339
1930-1940,348431
1940-1950,384616
1950-1960,533984
1960-1970,700331
1970-1980,616269
1980-1990,478956
1990-2000,331433
2000-2010,452240
2010-2020,658569
2020-2030,627344
2030-2040,585260
2040-2050,530241
2050-2060,455684
2060-2070,470369
2070-2080,413556
2080-2090,391423
2090-2100,294248
2100-2110,233258
2110-2120,182902
2120-2130,161366
2130-2140,110964
2140-2150,78010
2150-2160,54273
2160-2170,63570
2170-2180,85085
2180-2190,97760
2190-2200,126245
2200-2210,137814
2210-2220,110515
2220-2230,112627
2230-2240,123746
2240-2250,118027
2250-2260,145514
2260-2270,202062
2270-2280,184824
2280-2290,211113
2290-2300,217353
2300-2310,290840
2310-2320,260779
2320-2330,290259
2330-2340,351901
2340-2350,364799
2350-2360,371071
2360-2370,385691
2370-2380,532278
2380-2390,623029
2390-2400,610846
2400-2410,518634
2410-2420,463792
2420-2430,530452
2430-2440,543668
2440-2450,470066
2450-2460,423948
2460-2470,350563
2470-2480,256278
2480-2490,254021
2490-2500,265693
2500-2510,298237
2510-2520,407144
2520-2530,576600
2530-2540,640633
2540-2550,572344
2550-2560,501870
2560-2570,590053
2570-2580,682467
2580-2590,793755
2590-2600,974096
2600-2610,879546
2610-2620,889985
2620-2630,838405
2630-2640,712533
2640-2650,591281
2650-2660,484726
2660-2670,478451
2670-2680,551353
2680-2690,682229
2690-2700,585871
2700-2710,571058
2710-2720,600209
2720-2730,538697
2730-2740,548036
2740-2750,560689
2750-2760,502588
2760-2770,537838
2770-2780,572775
2780-2790,582681
2790-2800,644285
2800-2810,755733
2810-2820,689300
2820-2830,661378
2830-2840,677500
2840-2850,612750
2850-2860,579842
2860-2870,610045
2870-2880,564695
2880-2890,539025
2890-2900,615344
2900-2910,594036
2910-2920,714298
2920-2930,799011
2930-2940,849781
2940-2950,804130
2950-2960,763361
2960-2970,641580
2970-2980,521694
2980-2990,500036
2990-3000,675003
3000-3010,878281
3010-3020,936799
3020-3030,784354
3030-3040,644591
3040-3050,629020
3050-3060,571980
3060-3070,572346
3070-3080,573437
3080-3090,581313
3090-3100,685858
3100-3110,770864
3110-3120,802553
3120-3130,664324
3130-3140,535661
3140-3150,512563
3150-3160,421224
3160-3170,398018
3170-3180,457301
3180-3190,379294
3190-3200,368779
3200-3210,403894
3210-3220,461789
3220-3230,525202
3230-3240,447174
3240-3250,414672
3250-3260,421507
3260-3270,335769
3270-3280,312039
3280-3290,292958
3290-3300,300238
3300-3310,263511
3310-3320,263381
3320-3330,191149
3330-3340,216271
3340-3350,285635
3350-3360,273989
3360-3370,285530
3370-3380,271791
3380-3390,256205
3390-3400,278412
3400-3410,251160
3410-3420,187703
3420-3430,189748
3430-3440,206152
3440-3450,231875
3450-3460,277113
3460-3470,222269
3470-3480,255284
3480-3490,238585
3490-3500,201794
3500-3510,189112
3510-3520,164725
3520-3530,137277
3530-3540,63815
3540-3550,41026
3550-3560,27262
3560-3570,26403
3570-3580,16810
3580-3590,9248
3590-3600,6770
3600-3610,25972
3610-3620,27050
3620-3630,25192
3630-3640,36251
3640-3650,40049
3650-3660,50522
3660-3670,39317
3670-3680,40141
3680-3690,51674
3690-3700,94530
3700-3710,125314
3710-3720,131501
3720-3730,158753
3730-3740,184645
3740-3750,190436
3750-3760,187267
3760-3770,164552
3770-3780,198556
3780-3790,237983
3790-3800,288350
3800-3810,300018
3810-3820,284742
3820-3830,235148
3830-3840,186175
3840-3850,166499
3850-3860,182912
3860-3870,147711
3870-3880,144270
3880-3890,163940
3890-3900,189293
3900-3910,207196
3910-3920,237664
3920-3930,222496
3930-3940,223628
3940-3950,257138
3950-3960,256331
3960-3970,224399
3970-3980,220212
3980-3990,228785
3990-4000,250174
4000-4010,300184
4010-4020,363975
4020-4030,392365
4030-4040,412425
4040-4050,424330
4050-4060,423010
4060-4070,368069
4070-4080,356753
4080-4090,343893
4090-4100,335564
4100-4110,294589
4110-4120,263271
4120-4130,230058
4130-4140,241646
4140-4150,227878
4150-4160,199821
4160-4170,166482
4170-4180,158499
4180-4190,130781
4190-4200,135255
4200-4210,138815
4210-4220,137137
4220-4230,99230
4230-4240,86592
4240-4250,92141
4250-4260,82636
4260-4270,91383
4270-4280,130724
4280-4290,156914
4290-4300,165018
4300-4310,174344
4310-4320,192179
4320-4330,209604
4330-4340,210274
4340-4350,192733
4350-4360,198440
4360-4370,135913
4370-4380,110986
4380-4390,110763
4390-4400,126130
4400-4410,124607
4410-4420,125669
4420-4430,74974
4430-4440,81444
4440-4450,99167
4450-4460,77173
4460-4470,82465
4470-4480,83765
4480-4490,83432
4490-4500,112911
4500-4510,102044
4510-4520,97938
4520-4530,94395
4530-4540,79589
4540-4550,62463
4550-4560,61529
4560-4570,80435
4570-4580,70824
4580-4590,83854
4590-4600,84812
4600-4610,84287
4610-4620,72182
4620-4630,47315
4630-4640,49424
4640-4650,45923
4650-4660,52911
4660-4670,48372
4670-4680,52005
4680-4690,43116
4690-4700,66039
4700-4710,59653
4710-4720,44193
4720-4730,53740
4730-4740,49688
4740-4750,43805
4750-4760,34447
4760-4770,13484
4770-4780,1619
